19,22,25,25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0
0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0
0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0
0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1

Stages
CHASE,-1
